,reg,libelle,cl_age90,rea_f,rea_h,rea,pct_h,pct_f,incid_rea,population,inc_h,inc_f,benef_h,benef_f
89,32,Hauts-de-France,9,7694,13319,7,0.0,0.0,1434,720345,0.0,0.0,0.0,0.0
90,32,Hauts-de-France,19,7694,13319,54,0.0,0.0,1434,801715,0.18,0.09,0.5472,0.2736
91,32,Hauts-de-France,29,7694,13319,225,0.01,0.0,1434,694588,0.72,0.41,2.1888,1.2464
92,32,Hauts-de-France,39,7694,13319,552,0.02,0.01,1434,744919,1.54,0.96,4.6816,2.9184
93,32,Hauts-de-France,49,7694,13319,1967,0.06,0.04,1434,757746,5.49,3.31,16.689600000000002,10.0624
94,32,Hauts-de-France,59,7694,13319,3814,0.11,0.07,1434,762604,10.53,6.3,32.011199999999995,19.152
95,32,Hauts-de-France,69,7694,13319,7426,0.22,0.13,1434,699972,22.33,13.42,67.8832,40.7968
96,32,Hauts-de-France,79,7694,13319,5991,0.18,0.1,1434,479542,26.32,15.7,80.0128,47.728
97,32,Hauts-de-France,89,7694,13319,1030,0.03,0.02,1434,248440,8.66,5.19,26.3264,15.777600000000001
98,32,Hauts-de-France,90,7694,13319,83,0.0,0.0,1434,65886,2.18,1.09,6.6272,3.3136
99,44,Grand Est,0,4848,10225,15165,0.67,0.33,993,5522476,6.06,2.93,18.4224,8.907200000000001
100,44,Grand Est,9,4848,10225,1,0.0,0.0,993,591749,0.0,0.0,0.0,0.0
101,44,Grand Est,19,4848,10225,15,0.0,0.0,993,666357,0.07,0.0,0.21280000000000002,0.0
102,44,Grand Est,29,4848,10225,118,0.0,0.0,993,618269,0.4,0.24,1.2160000000000002,0.7296
103,44,Grand Est,39,4848,10225,429,0.02,0.01,993,673889,1.4,0.66,4.255999999999999,2.0064
104,44,Grand Est,49,4848,10225,1160,0.05,0.02,993,689656,3.74,1.8,11.3696,5.472
105,44,Grand Est,59,4848,10225,2673,0.12,0.06,993,754632,7.83,3.75,23.8032,11.4
106,44,Grand Est,69,4848,10225,4972,0.22,0.11,993,703304,15.6,7.55,47.424,22.951999999999998
107,44,Grand Est,79,4848,10225,4830,0.22,0.1,993,485486,21.99,10.64,66.8496,32.345600000000005
108,44,Grand Est,89,4848,10225,784,0.04,0.02,993,270447,6.43,3.12,19.5472,9.4848
109,44,Grand Est,90,4848,10225,62,0.0,0.0,993,68687,2.17,0.72,6.5968,2.1888
110,52,Pays de la Loire,0,1350,3203,4553,0.7,0.3,386,3837166,3.54,1.49,10.7616,4.5296
111,52,Pays de la Loire,9,1350,3203,61,0.01,0.0,386,432272,0.4,0.18,1.2160000000000002,0.5472
