reg;week;P_f;P_h;P;pop_f;pop_h;cl_age90;pop
28;2021-S04;3245;2502;5764;1708601;1594899;0;3303500
32;2021-S04;283;327;610;358062;373689;09;731751
32;2021-S04;865;958;1826;387045;406742;19;793787
32;2021-S04;955;813;1768;342304;348587;29;690891
32;2021-S04;1047;840;1887;382485;369972;39;752457
32;2021-S04;1005;872;1877;382510;376716;49;759226
32;2021-S04;883;812;1695;386937;376527;59;763464
32;2021-S04;601;563;1164;371211;330938;69;702149
32;2021-S04;472;442;914;250542;201459;79;452001
32;2021-S04;438;281;719;163399;89786;89;253185
32;2021-S04;285;75;360;48384;15367;90;63751
32;2021-S04;6837;5988;12831;3072879;2889783;0;5962662
44;2021-S04;269;307;582;291525;306839;09;598364
44;2021-S04;883;818;1713;320255;339504;19;659759
44;2021-S04;882;791;1676;302020;314428;29;616448
44;2021-S04;991;832;1823;342222;333292;39;675514
44;2021-S04;954;779;1737;349727;344491;49;694218
44;2021-S04;883;764;1659;381371;373239;59;754610
44;2021-S04;612;624;1238;367165;335850;69;703015
44;2021-S04;388;351;743;250387;215436;79;465823
44;2021-S04;496;284;793;170825;105192;89;276017
44;2021-S04;280;98;380;51248;16731;90;67979
44;2021-S04;6638;5648;12344;2826745;2685002;0;5511747
52;2021-S04;113;117;241;213594;223900;09;437494
52;2021-S04;386;432;826;240818;255197;19;496015
52;2021-S04;442;420;864;197010;200630;29;397640
52;2021-S04;452;344;799;231204;224885;39;456089
52;2021-S04;552;422;975;243874;243418;49;487292
52;2021-S04;411;383;795;244100;239116;59;483216
52;2021-S04;297;275;576;241796;221345;69;463141
52;2021-S04;241;213;458;177805;149903;79;327708
52;2021-S04;328;194;522;119561;75822;89;195383
52;2021-S04;300;78;378;42559;15260;90;57819
52;2021-S04;3522;2878;6434;1952321;1849476;0;3801797
53;2021-S04;73;87;164;173813;182358;09;356171
53;2021-S04;220;237;465;202720;214740;19;417460
53;2021-S04;278;249;551;163116;173196;29;336312
53;2021-S04;273;205;478;190526;187674;39;378200
53;2021-S04;280;190;470;212098;212015;49;424113
