jour;libelle;reg;incid_rea
2020-04-01;Nouvelle-Aquitaine;75;23
2020-04-01;Occitanie;76;41
2020-04-01;Pays de la Loire;52;20
2020-04-01;Provence-Alpes-Côte d'Azur;93;45
2020-04-02;Auvergne-Rhône-Alpes;84;64
2020-04-02;Bourgogne-Franche-Comté;27;33
2020-04-02;Bretagne;53;18
2020-04-02;Centre-Val de Loire;24;22
2020-04-02;Corse;94;3
2020-04-02;Grand-Est;44;109
2020-04-02;Guadeloupe;1;4
2020-04-02;Guyane;3;0
2020-04-02;Hauts-de-France;32;65
2020-04-02;Ile-de-France;11;261
2020-04-02;La Réunion;4;1
2020-04-02;Martinique;2;1
2020-04-02;Mayotte;6;2
2020-04-02;Normandie;28;29
2020-04-02;Nouvelle-Aquitaine;75;19
2020-04-02;Occitanie;76;32
2020-04-02;Pays de la Loire;52;14
2020-04-02;Provence-Alpes-Côte d'Azur;93;51
2020-04-03;Auvergne-Rhône-Alpes;84;55
2020-04-03;Bourgogne-Franche-Comté;27;28
2020-04-03;Bretagne;53;8
2020-04-03;Centre-Val de Loire;24;24
2020-04-03;Corse;94;1
2020-04-03;Grand-Est;44;104
2020-04-03;Guadeloupe;1;1
2020-04-03;Guyane;3;1
2020-04-03;Hauts-de-France;32;55
2020-04-03;Ile-de-France;11;258
2020-04-03;La Réunion;4;0
2020-04-03;Martinique;2;0
2020-04-03;Mayotte;6;0
2020-04-03;Normandie;28;17
2020-04-03;Nouvelle-Aquitaine;75;12
2020-04-03;Occitanie;76;19
2020-04-03;Pays de la Loire;52;12
2020-04-03;Provence-Alpes-Côte d'Azur;93;45
2020-04-04;Auvergne-Rhône-Alpes;84;57
2020-04-04;Bourgogne-Franche-Comté;27;22
2020-04-04;Bretagne;53;7
2020-04-04;Centre-Val de Loire;24;16
2020-04-04;Corse;94;2
2020-04-04;Grand-Est;44;72
2020-04-04;Guadeloupe;1;2
2020-04-04;Guyane;3;0
2020-04-04;Hauts-de-France;32;44
2020-04-04;Ile-de-France;11;192
2020-04-04;La Réunion;4;2
2020-04-04;Martinique;2;2
2020-04-04;Mayotte;6;0
2020-04-04;Normandie;28;16
2020-04-04;Nouvelle-Aquitaine;75;11
2020-04-04;Occitanie;76;17
2020-04-04;Pays de la Loire;52;8
2020-04-04;Provence-Alpes-Côte d'Azur;93;32
2020-04-05;Auvergne-Rhône-Alpes;84;68
2020-04-05;Bourgogne-Franche-Comté;27;12
2020-04-05;Bretagne;53;6
2020-04-05;Centre-Val de Loire;24;6
2020-04-05;Corse;94;0
2020-04-05;Grand-Est;44;44
2020-04-05;Guadeloupe;1;2
2020-04-05;Guyane;3;0
2020-04-05;Hauts-de-France;32;31
2020-04-05;Ile-de-France;11;153
2020-04-05;La Réunion;4;0
2020-04-05;Martinique;2;2
2020-04-05;Mayotte;6;0
2020-04-05;Normandie;28;11
2020-04-05;Nouvelle-Aquitaine;75;7
2020-04-05;Occitanie;76;17
2020-04-05;Pays de la Loire;52;8
2020-04-05;Provence-Alpes-Côte d'Azur;93;23
2020-04-06;Auvergne-Rhône-Alpes;84;43
2020-04-06;Bourgogne-Franche-Comté;27;24
2020-04-06;Bretagne;53;4
2020-04-06;Centre-Val de Loire;24;19
2020-04-06;Corse;94;1
2020-04-06;Grand-Est;44;70
2020-04-06;Guadeloupe;1;0
2020-04-06;Guyane;3;0
2020-04-06;Hauts-de-France;32;29
2020-04-06;Ile-de-France;11;196
2020-04-06;La Réunion;4;0
2020-04-06;Martinique;2;0
2020-04-06;Mayotte;6;0
2020-04-06;Normandie;28;14
2020-04-06;Nouvelle-Aquitaine;75;11
2020-04-06;Occitanie;76;26
2020-04-06;Pays de la Loire;52;8
2020-04-06;Provence-Alpes-Côte d'Azur;93;33
2020-04-07;Auvergne-Rhône-Alpes;84;45
2020-04-07;Bourgogne-Franche-Comté;27;29
2020-04-07;Bretagne;53;4
2020-04-07;Centre-Val de Loire;24;8
2020-04-07;Corse;94;3
2020-04-07;Grand-Est;44;61
2020-04-07;Guadeloupe;1;0
2020-04-07;Guyane;3;0
2020-04-07;Hauts-de-France;32;47
2020-04-07;Ile-de-France;11;239
2020-04-07;La Réunion;4;0
2020-04-07;Martinique;2;0
2020-04-07;Mayotte;6;0
2020-04-07;Normandie;28;11
2020-04-07;Nouvelle-Aquitaine;75;14
2020-04-07;Occitanie;76;20
2020-04-07;Pays de la Loire;52;8
2020-04-07;Provence-Alpes-Côte d'Azur;93;29
2020-04-08;Auvergne-Rhône-Alpes;84;39
2020-04-08;Bourgogne-Franche-Comté;27;14
2020-04-08;Bretagne;53;7
2020-04-08;Centre-Val de Loire;24;19
2020-04-08;Corse;94;3
2020-04-08;Grand-Est;44;60
2020-04-08;Guadeloupe;1;1
2020-04-08;Guyane;3;0
2020-04-08;Hauts-de-France;32;30
2020-04-08;Ile-de-France;11;208
2020-04-08;La Réunion;4;0
2020-04-08;Martinique;2;1
2020-04-08;Mayotte;6;1
2020-04-08;Normandie;28;7
2020-04-08;Nouvelle-Aquitaine;75;18
2020-04-08;Occitanie;76;21
2020-04-08;Pays de la Loire;52;12
2020-04-08;Provence-Alpes-Côte d'Azur;93;41
2020-04-09;Auvergne-Rhône-Alpes;84;34
2020-04-09;Bourgogne-Franche-Comté;27;10
2020-04-09;Bretagne;53;3
2020-04-09;Centre-Val de Loire;24;13
2020-04-09;Corse;94;1
2020-04-09;Grand-Est;44;42
2020-04-09;Guadeloupe;1;2
2020-04-09;Guyane;3;0
2020-04-09;Hauts-de-France;32;35
2020-04-09;Ile-de-France;11;170
2020-04-09;La Réunion;4;1
2020-04-09;Martinique;2;0
2020-04-09;Mayotte;6;0
2020-04-09;Normandie;28;9
2020-04-09;Nouvelle-Aquitaine;75;12
2020-04-09;Occitanie;76;10
2020-04-09;Pays de la Loire;52;10
